wd;ws
44;0
44;1,3
44;0,5
44;0
44;2,4
44;2
44;0,5
44;1,3
44;0
44;0,6
44;0
44;2,5
44;1,3
44;0
44;0
44;0
44;0
44;0
44;0,2
44;1
44;0
44;1,3
44;0,9
44;1,7
44;2,4
44;0
44;0
44;0
44;2,7
44;0,3
44;0
44;0,1
44;0
44;0
44;0,6
44;0
44;0
44;0,2
44;0
45;1
45;0,8
45;1,9
45;2
45;0,9
45;0,5
45;2,2
45;2,1
45;0,2
45;0,2
45;0
45;0,2
45;0
45;0,5
45;2,9
45;1,9
45;0,6
45;0
45;2,8
45;2,1
45;2,1
45;1,9
45;2
45;0
45;0
46;1,2
46;2,5
46;2,6
46;0,3
46;0,9
46;0
46;1,2
46;1,2
46;2,5
46;3,2
46;0
46;0,4
46;1,7
46;1,4
46;1,2
46;1,6
46;1,7
46;1,3
46;0
46;1,9
46;0
46;0,4
46;0,6
46;0
46;0
46;2,1
46;2
46;2,1
46;1,3
46;1,5
46;1,6
46;1,5
46;1,9
46;0
46;0
46;0
46;0
46;0
46;0,6
47;1,9
47;1,8
47;0,3
47;0
47;1,2
47;1,4
47;0
47;0,4
47;1,2
47;0
47;0
47;0
47;0,7
47;0,7
47;0,3
47;1,8
47;2,1
47;1,8
47;1,4
47;2,7
47;0
47;0
47;1,8
47;2,8
47;0,1
47;0
47;0
47;0
47;0
47;0,1
47;0
47;0
48;1,7
48;2,5
48;0
48;0
48;0,3
48;1,6
48;0
48;0
48;0
48;0
48;0,7
48;2,4
48;1,8
48;2,6
48;0
48;1,9
48;2,8
48;1,7
48;2,6
48;0
48;1,7
48;0
48;0
48;0
48;0
48;0,3
48;0
48;3,7
48;0
48;0
48;0
48;0,1
48;0
48;0
48;0
48;0
49;1,9
49;1,2
49;0,4
49;1,9
49;0,1
49;0,9
49;0,7
49;0
49;0,3
49;3,3
49;0
49;2,5
49;1,9
49;2
49;0,1
49;0,3
49;0
49;2,8
49;0
49;2
49;3,1
49;0
49;2,4
49;1,8
49;1,4
49;0,9
49;2,5
49;0
49;0
49;2
49;2,4
49;0,8
49;0
49;1,1
49;0
49;0
49;0
49;1,2
49;0
49;0
49;0,6
49;0,8
49;0
50;2,9
50;1,1
50;0,9
50;1,8
50;2
50;2,1
50;0
50;1,3
50;2,4
50;0
50;1
50;1,9
50;1,8
50;0,4
50;0,3
50;0,5
50;1,7
50;0
50;0,6
50;2,2
50;2,4
50;2,2
50;1
50;2,1
50;1,3
50;1,6
50;1,5
50;2,4
50;1,3
50;0,6
50;2
50;2,7
50;2,2
50;1,8
50;0
50;0
50;0
50;1,8
50;0
50;0,4
50;0
50;0
50;0
51;8,6
51;0,9
51;2,2
51;1,5
51;0,4
51;0
51;0,1
51;0
51;0,6
51;0,1
51;1
51;0,4
51;2,6
51;0
51;0,6
51;0
51;0
51;0
51;1,5
51;1,8
51;1,1
51;2,3
51;0
51;1,7
51;3,1
51;0,3
51;0
51;2,5
51;3,1
51;1,3
51;0
51;0
51;0
51;0
51;0
51;0
51;0
51;0
52;2,1
52;1,5
52;0,4
52;3,2
52;1,5
52;1,6
52;2,2
52;0,9
52;1,6
52;0,3
52;1,9
52;1,8
52;2
52;2,6
52;0
52;0
52;0,1
52;2,4
52;1,4
52;2
52;0
52;1,8
52;1,1
52;1,4
52;0
52;0,2
52;2,1
52;2,1
52;1,5
52;0
52;1,9
52;2,3
52;1,4
52;2,6
52;1,3
52;1
52;1,4
52;1,3
52;0,1
52;0
52;0
52;0
52;0
52;0
52;4
